Date,Open,High,Low,Close,Adj Close,Volume
2023-07-10,82.615303,82.715302,82.550499,82.615303,82.615303,0
2023-07-11,82.525299,82.633301,81.266899,82.525299,82.525299,0
2023-07-12,82.399902,82.463997,81.972198,82.399902,82.399902,0
2023-07-13,82.001801,82.141296,81.953499,82.001801,82.001801,0
2023-07-14,82.030800,82.192596,81.928001,82.030800,82.030800,0
2023-07-17,82.076797,82.197601,81.998100,82.076797,82.076797,0
2023-07-18,82.061600,82.091202,81.963997,82.061600,82.061600,0
2023-07-19,82.075401,82.147102,82.027100,82.075401,82.075401,0
2023-07-20,82.061699,82.078796,81.914101,82.061699,82.061699,0
2023-07-21,82.082397,82.099297,81.935997,82.082397,82.082397,0
2023-07-24,81.990303,82.040901,81.793999,81.990303,81.990303,0
2023-07-25,81.814201,81.907700,81.663002,81.814201,81.814201,0
2023-07-26,81.950104,82.070396,81.830002,81.950104,81.950104,0
2023-07-27,81.975502,82.230904,81.883003,81.975502,81.975502,0
2023-07-28,82.374901,82.375099,82.153999,82.374901,82.374901,0
2023-07-31,82.252800,82.365997,82.117996,82.252800,82.252800,0
2023-08-01,82.233299,82.345398,82.222000,82.233299,82.233299,0
2023-08-02,82.307297,82.809303,82.290001,82.307297,82.307297,0
2023-08-03,82.733299,82.855698,82.663002,82.733299,82.733299,0
2023-08-04,82.784302,82.889000,82.670502,82.784302,82.784302,0
2023-08-07,82.695297,82.824799,82.657097,82.695297,82.695297,0
2023-08-08,82.748299,82.984299,82.718300,82.748299,82.748299,0
2023-08-09,82.845001,83.106300,82.786102,82.845001,82.845001,0
2023-08-10,82.866302,82.867302,82.584099,82.866302,82.866302,0
2023-08-11,82.799896,82.991501,82.723000,82.799896,82.799896,0
2023-08-14,82.897301,83.288498,82.871498,82.897301,82.897301,0
2023-08-15,83.233398,83.492302,83.153999,83.233398,83.233398,0
2023-08-16,83.194199,84.929298,83.091003,83.194199,83.194199,0
2023-08-17,83.237000,83.250198,82.976501,83.237000,83.237000,0
2023-08-18,83.098297,83.214600,82.954498,83.098297,83.098297,0
2023-08-21,83.167297,83.203796,83.050003,83.167297,83.167297,0
2023-08-22,83.113503,83.141296,82.913002,83.113503,83.113503,0
2023-08-23,83.073303,83.085297,82.464996,83.073303,83.073303,0
2023-08-24,82.544701,82.642799,82.353996,82.544701,82.544701,0
2023-08-25,82.641403,82.715302,82.552597,82.641403,82.641403,0
2023-08-28,82.664299,82.664597,82.457603,82.664299,82.664299,0
2023-08-29,82.691498,82.879997,82.568001,82.691498,82.691498,0
2023-08-30,82.494698,82.799301,82.488297,82.494698,82.494698,0
2023-08-31,82.700401,82.785599,82.570999,82.700401,82.700401,0
2023-09-01,82.682404,82.768799,82.542397,82.682404,82.682404,0
2023-09-04,82.696999,82.781197,82.590599,82.696999,82.696999,0
2023-09-05,82.734596,83.077103,82.706497,82.734596,82.734596,0
2023-09-06,83.086098,83.239799,82.915199,83.086098,83.086098,0
2023-09-07,83.257401,83.308998,83.066002,83.257401,83.257401,0
2023-09-08,83.241501,83.260002,82.916496,83.241501,83.241501,0
2023-09-11,83.031303,83.052200,82.824203,83.031303,83.031303,0
2023-09-12,82.943298,83.008202,82.867996,82.943298,82.943298,0
2023-09-13,82.843002,83.031197,82.824997,82.843002,82.843002,0
2023-09-14,82.936798,83.103699,82.918503,82.936798,82.936798,0
2023-09-15,83.028297,83.180702,83.003098,83.028297,83.028297,0
2023-09-18,83.085800,83.347603,83.049500,83.085800,83.085800,0
2023-09-19,83.254898,83.334099,83.142303,83.254898,83.254898,0
2023-09-20,83.195000,83.289001,82.928001,83.195000,83.195000,0
2023-09-21,83.086998,83.200104,82.996002,83.086998,83.086998,0
2023-09-22,82.891296,83.000397,82.733002,82.891296,82.891296,0
2023-09-25,82.974800,83.170403,82.895699,82.974800,82.974800,0
2023-09-26,83.028297,83.402199,83.035301,83.028297,83.028297,0
2023-09-27,83.298698,83.316299,83.159302,83.298698,83.298698,0
2023-09-28,83.222702,83.344803,83.098503,83.222702,83.222702,0
2023-09-29,83.193001,83.226501,83.003304,83.193001,83.193001,0
2023-10-02,83.034798,83.287903,82.915199,83.034798,83.034798,0
2023-10-03,83.359398,83.360901,83.134300,83.359398,83.359398,0
2023-10-04,83.229797,83.330200,83.182297,83.229797,83.229797,0
2023-10-05,83.449799,84.696999,83.184898,83.449799,83.449799,0
2023-10-06,83.224899,83.341301,83.084396,83.224899,83.224899,0
2023-10-09,83.124603,83.335197,83.079300,83.124603,83.124603,0
2023-10-10,83.270302,83.270302,83.155998,83.270302,83.270302,0
2023-10-11,83.250298,83.322304,83.110001,83.250298,83.250298,0
2023-10-12,83.218002,83.299896,83.019203,83.218002,83.218002,0
2023-10-13,83.262398,83.296600,83.078903,83.262398,83.262398,0
2023-10-16,83.282303,83.282501,83.097900,83.282303,83.282303,0
2023-10-17,83.199501,83.281097,81.516998,83.199501,83.199501,0
2023-10-18,83.264297,83.302696,83.192200,83.264297,83.264297,0
2023-10-19,83.268600,83.292702,82.719002,83.268600,83.268600,0
2023-10-20,83.122299,83.196198,83.018997,83.122299,83.122299,0
2023-10-23,83.159798,83.190399,83.040497,83.159798,83.159798,0
2023-10-24,83.029404,83.094299,82.947899,83.029404,83.029404,0
2023-10-25,82.987801,83.187302,81.205002,82.987801,82.987801,0
2023-10-26,83.170998,83.271698,83.141800,83.170998,83.170998,0
2023-10-27,83.282501,83.289398,83.141602,83.282501,83.282501,0
2023-10-30,83.413399,83.413399,83.223999,83.413399,83.413399,0
2023-10-31,83.296501,83.331001,83.224998,83.296501,83.296501,0
2023-11-01,83.277199,83.349297,83.197899,83.277199,83.277199,0
2023-11-02,85.194000,83.325897,83.170502,85.194000,85.194000,0
2023-11-03,83.247299,83.328003,83.145401,83.247299,83.247299,0
2023-11-06,83.158501,83.259697,82.976601,83.158501,83.158501,0
2023-11-07,83.222801,83.280899,83.144501,83.222801,83.222801,0
2023-11-08,83.232697,83.315300,83.184303,83.232697,83.232697,0
2023-11-09,83.217697,83.309097,83.218697,83.217697,83.217697,0
2023-11-10,83.319397,83.525803,83.231697,83.319397,83.319397,0
2023-11-13,83.298897,83.399101,83.218201,83.298897,83.298897,0
2023-11-14,83.197601,83.333000,82.908997,83.197601,83.197601,0
2023-11-15,82.981598,83.205902,82.921997,82.981598,82.981598,0
2023-11-16,83.186203,83.264397,82.993301,83.186203,83.186203,0
2023-11-17,83.120300,83.283699,83.136398,83.120300,83.120300,0
2023-11-20,83.291496,83.414497,83.203697,83.291496,83.291496,0
2023-11-21,83.322197,83.370796,83.237000,83.322197,83.322197,0
2023-11-22,83.345703,83.346100,83.259598,83.345703,83.345703,0
2023-11-23,83.548302,83.353798,83.178299,83.548302,83.548302,0
2023-11-24,83.344002,83.407204,83.296501,83.344002,83.344002,0
2023-11-27,83.314499,83.428596,83.308502,83.314499,83.314499,0
2023-11-28,83.364502,83.422501,83.306000,83.364502,83.364502,0
2023-11-29,83.418098,83.418098,83.255402,83.418098,83.418098,0
2023-11-30,83.330299,83.411301,83.186996,83.330299,83.330299,0
2023-12-01,83.352699,83.361298,83.248901,83.352699,83.352699,0
2023-12-04,83.218597,83.454102,83.197701,83.218597,83.218597,0
2023-12-05,83.417099,83.431602,83.328796,83.417099,83.417099,0
2023-12-06,83.315903,83.372299,83.288002,83.315903,83.315903,0
2023-12-07,83.289597,83.391701,83.292801,83.289597,83.289597,0
2023-12-08,83.354897,83.454002,81.026001,83.354897,83.354897,0
2023-12-11,83.430099,83.441002,83.357300,83.430099,83.430099,0
2023-12-12,83.343498,83.423798,83.339401,83.343498,83.343498,0
2023-12-13,83.396004,83.442596,83.346802,83.396004,83.396004,0
2023-12-14,83.285301,83.364098,83.244400,83.285301,83.285301,0
2023-12-15,83.296600,83.330200,82.942200,83.296600,83.296600,0
2023-12-18,83.041702,83.154701,82.918800,83.041702,83.041702,0
2023-12-19,83.111198,83.274200,83.065002,83.111198,83.111198,0
2023-12-20,83.091599,83.227203,83.033096,83.091599,83.091599,0
2023-12-21,83.267197,83.329697,83.141998,83.267197,83.267197,0
2023-12-22,83.131599,83.274498,83.042297,83.131599,83.131599,0
2023-12-25,83.165001,83.172302,83.165001,83.165001,83.165001,0
2023-12-26,83.172302,83.214699,83.104202,83.172302,83.172302,0
2023-12-27,83.182800,83.349197,83.121201,83.182800,83.182800,0
2023-12-28,83.267197,83.335701,83.159203,83.267197,83.267197,0
2023-12-29,82.302002,83.252998,82.702400,82.302002,82.302002,0
2024-01-01,83.248596,83.237999,83.150002,83.248596,83.248596,0
2024-01-02,83.202599,83.343002,83.169800,83.202599,83.202599,0
2024-01-03,83.257004,83.333702,83.246201,83.257004,83.257004,0
2024-01-04,83.318100,83.360298,83.202103,83.318100,83.318100,0
2024-01-05,83.240601,83.271599,83.035004,83.240601,83.240601,0
2024-01-08,83.191101,83.189697,83.028297,83.191101,83.191101,0
2024-01-09,83.050697,83.134399,83.020699,83.050697,83.050697,0
2024-01-10,83.131104,83.182198,82.954803,83.131104,83.131104,0
2024-01-11,83.025597,83.110001,82.933296,83.025597,83.025597,0
2024-01-12,83.076103,83.094002,82.779099,83.076103,83.076103,0
2024-01-15,82.872101,82.894997,82.809998,82.872101,82.872101,0
2024-01-16,82.859398,83.140404,82.827301,82.859398,82.859398,0
2024-01-17,83.088997,83.213997,83.017502,83.088997,83.088997,0
2024-01-18,83.177597,83.188698,83.055298,83.177597,83.177597,0
2024-01-19,83.160599,83.230797,83.042000,83.160599,83.160599,0
2024-01-22,83.124702,83.180496,83.024803,83.124702,83.124702,0
2024-01-23,83.095100,83.181000,81.513702,83.095100,83.095100,0
2024-01-24,83.221397,83.222504,83.070999,83.221397,83.221397,0
2024-01-25,83.097603,83.150398,83.078003,83.097603,83.097603,0
2024-01-26,83.146103,83.185898,83.074097,83.146103,83.146103,0
2024-01-29,83.121300,83.161400,83.122101,83.121300,83.121300,0
2024-01-30,83.153099,83.212601,83.091003,83.153099,83.153099,0
2024-01-31,83.109703,83.125603,83.000999,83.109703,83.109703,0
2024-02-01,83.053596,83.079102,82.911903,83.053596,83.053596,0
